filename,pool,file_path,linked_from_root,meet_name,date_raw,date_start,date_end,location,source,file_size_bytes,notes
99GldWst.htm,Results,public/LiftTilYaDie/Results/99GldWst.htm,False,1999 Golden West Open,"October 10, 1999",1999-10-10,1999-10-10,"Flexit Gym, Mountain View, CA",Jim Schmitz,34066,duplicate_exists_in_root
99HighDesert.htm,Results,public/LiftTilYaDie/Results/99HighDesert.htm,False,1999 High Desert Open Results,1999,1999,,"Sparks, NV",,17941,
99LstChn.htm,Results,public/LiftTilYaDie/Results/99LstChn.htm,False,1999 Sacramento Last Chance,"March 27, 1999",1999-03-27,1999-03-27,Sacramento State University,,8741,duplicate_exists_in_root
99LstChnII.htm,Results,public/LiftTilYaDie/Results/99LstChnII.htm,False,1999 Last Chance Open II,"November 20, 1999",1999-11-20,1999-11-20,Sacramento State University,,17836,
99NatJrs.htm,Results,public/LiftTilYaDie/Results/99NatJrs.htm,True,1999 NATIONAL JUNIORS,"MARCH 5 - 7, 1999",1999-03-05,1999-03-07,NATIONAL JUNIORS,,150900,has_record_notations; large_file_possibly_multi_meet
99NCalHS.htm,Results,public/LiftTilYaDie/Results/99NCalHS.htm,False,1999 NorCal High School Championships,"May 30, 1999",1999-17-30,1999-17-30,"Sacramento State University - Sacramento, CA",,14487,duplicate_exists_in_root
99NorCal.htm,Results,public/LiftTilYaDie/Results/99NorCal.htm,False,1999 Northern California/Sacramento Open,"May 29, 1999",1999-17-29,1999-17-29,Sacramento Open,Jim Schmitz,17869,duplicate_exists_in_root
99PWAChp.htm,Results,public/LiftTilYaDie/Results/99PWAChp.htm,False,1999 PWA Championships,"February 6, 1999",1999-02-06,1999-02-06,"Flexit Gym, Mountain View, CA",,17979,
99SrNats.htm,Results,public/LiftTilYaDie/Results/99SrNats.htm,True,1999 USAW SENIOR NATIONALS,"April 23 - 25, 1999",1999-04-23,1999-04-25,"USA WEIGHTLIFTING SENIOR NATIONALS Saint Joseph, MO",,106540,duplicate_exists_in_root
AAUChamps.htm,Results,public/LiftTilYaDie/Results/AAUChamps.htm,False,SENIOR NATIONAL WEIGHTLIFTING CHAMPIONS,,,,"Gardner, MA",,51711,
AllTimeAMRecords.htm,Results,public/LiftTilYaDie/Results/AllTimeAMRecords.htm,True,ALL TIME US RECORDS,,,,Senior Men,,43154,has_record_notations
OlympiansByName.htm,Results,public/LiftTilYaDie/Results/OlympiansByName.htm,True,USA Weightlifting All-Time U.S. Olympians,,,,"BRONZE MEDALIST Oscar Chaplin, II",,22635,
OlympiansByYear.htm,Results,public/LiftTilYaDie/Results/OlympiansByYear.htm,True,USA Weightlifting All-Time U.S. Olympians,,,,"LOUIS, US",,18939,
PanAmMen.htm,Results,public/LiftTilYaDie/Results/PanAmMen.htm,False,1999 PAN AM GAMES - MEN,,,,,,31434,duplicate_exists_in_root
PanAmWmn.htm,Results,public/LiftTilYaDie/Results/PanAmWmn.htm,False,1999 PAN AM GAMES - WOMEN,,,,,,25187,duplicate_exists_in_root
SrNatsChamps.htm,Results,public/LiftTilYaDie/Results/SrNatsChamps.htm,True,SENIOR NATIONAL WEIGHTLIFTING CHAMPIONS,,,,"Gardner, MA",,77232,
SrNatsChampsByName.htm,Results,public/LiftTilYaDie/Results/SrNatsChampsByName.htm,True,US SENIOR NATIONAL WEIGHTLIFTING CHAMPIONS,,,,"Maitland, FL",,60929,
SrNatsChampsByNumber.htm,Results,public/LiftTilYaDie/Results/SrNatsChampsByNumber.htm,True,US SENIOR NATIONAL WEIGHTLIFTING CHAMPIONS,,,,"Oscar Chaplin, II",,5251,
USAWorld.htm,Results,public/LiftTilYaDie/Results/USAWorld.htm,True,USA WORLD RECORDS,,,,(SORTED BY NAME),,56818,has_record_notations
WomenNatChamps.htm,Results,public/LiftTilYaDie/Results/WomenNatChamps.htm,True,WOMEN NATIONAL WEIGHTLIFTING CHAMPIONS,,,,"Sibby Flowers Carroliton, GA",,35058,
WomenNatChampsByName.htm,Results,public/LiftTilYaDie/Results/WomenNatChampsByName.htm,True,US WOMEN'S NATIONAL WEIGHTLIFTING CHAMPIONS,,,,,,37730,
WomenNatChampsByNumber.htm,Results,public/LiftTilYaDie/Results/WomenNatChampsByNumber.htm,True,US WOMEN'S NATIONAL WEIGHTLIFTING CHAMPIONS,,,,,,3542,
